Data;Ora;GEL008-Calvari-4 PRESSIONE (istantanea 1h) [hPa];GEL008-Calvari-4 TEMP-ACQUA (istantanea 1h) [°C];GEL008-Calvari-4 LIVELLO-IDRO (istantanea 1h) [m]
24/05/2020;11:50:00;366,44;13,9;281,6
24/05/2020;12:50:00;365,38;13,9;280,6
24/05/2020;13:50:00;366,37;13,9;280,6
24/05/2020;14:50:00;365,17;13,8;282,1
24/05/2020;15:50:00;364,66;13,9;280,2
24/05/2020;16:50:00;365,34;13,9;279,8
24/05/2020;17:50:00;434,42;13,8;211,5
24/05/2020;18:50:00;365,15;13,8;281,3
24/05/2020;19:50:00;365,52;13,9;278,8
24/05/2020;20:50:00;364,43;13,9;282,2
24/05/2020;21:50:00;366,11;13,9;280,7
24/05/2020;22:50:00;364,02;13,9;280,5
24/05/2020;23:50:00;574,56;13,8;67,1
25/05/2020;00:50:00;364,53;13,9;281,3
25/05/2020;01:50:00;574,66;13,8;67,1
25/05/2020;02:50:00;363,05;13,8;281,9
25/05/2020;03:50:00;575,16;13,8;66,6
25/05/2020;04:50:00;363,6;13,8;282
25/05/2020;05:50:00;574,24;13,7;67,5
